date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:47	59586/59586	---MCZ	200	added ('OK')	text/css	etag:W/%2267186dd7-e8c2%22	https://funtechinnovation.com/wp-content/cache/wpfc-minified/fddbyvpu/bxdgd.css	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/fddbyvpu/bxdgd.css	(from https://funtechinnovation.com/zh-hant/)
11:10:48	174/174	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Jan%202025%2003:10:48%20GMT	http://funtechinnovation.com/wp-content/cache/wpfc-minified/m9qyhlia/bxdgd.js	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/m9qyhlia/bxdgd.js	(from https://funtechinnovation.com/zh-hant/)
11:10:49	174/174	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Jan%202025%2003:10:49%20GMT	http://funtechinnovation.com/wp-content/cache/wpfc-minified/9a8hie8g/bxdgd.js	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/9a8hie8g/bxdgd.js	(from https://funtechinnovation.com/zh-hant/)
11:10:49	185597/185597	---MCZ	200	added ('OK')	text/javascript	etag:W/%2267186dd7-2d4fd%22	https://funtechinnovation.com/wp-content/cache/wpfc-minified/m9qyhlia/bxdgd.js	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/m9qyhlia/bxdgd.js	(from https://funtechinnovation.com/zh-hant/)
11:10:50	40903/40903	---MCZ	200	added ('OK')	text/javascript	etag:W/%2267186dd7-9fc7%22	https://funtechinnovation.com/wp-content/cache/wpfc-minified/9a8hie8g/bxdgd.js	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/cache/wpfc-minified/9a8hie8g/bxdgd.js	(from https://funtechinnovation.com/zh-hant/)
11:10:51	394075/394075	---MCZ	200	added ('OK')	application/json	date:Tue,%2007%20Jan%202025%2003:10:51%20GMT	https://funtechinnovation.com/zh-hant/wp-json/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/wp-json/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:51	83568/83568	---MCZ	200	added ('OK')	application/json	date:Tue,%2007%20Jan%202025%2003:10:51%20GMT	https://funtechinnovation.com/zh-hant/wp-json/wp/v2/pages/22474	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/wp-json/wp/v2/pages/22474.json	(from https://funtechinnovation.com/zh-hant/)
11:10:52	2892/2892	---MCZ	200	added ('OK')	application/json	date:Tue,%2007%20Jan%202025%2003:10:52%20GMT	https://funtechinnovation.com/zh-hant/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffuntechinnovation.com%2Fzh-hant%2F	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/wp-json/oembed/1.0/embed019d.json	(from https://funtechinnovation.com/zh-hant/)
11:10:52	3312/3312	---MC-	200	added ('OK')	text/xml	date:Tue,%2007%20Jan%202025%2003:10:53%20GMT	https://funtechinnovation.com/zh-hant/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffuntechinnovation.com%2Fzh-hant%2F&format=xml	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/wp-json/oembed/1.0/embeda536	(from https://funtechinnovation.com/zh-hant/)
11:10:53	114/114	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202025%2003:10:54%20GMT	https://www.iospecialist.com/images/bg_direction_nav.png	D:/HTTrack_website/Funtech_website/www.iospecialist.com/images/bg_direction_nav.html	(from https://funtechinnovation.com/zh-hant/)
11:10:53	421/421	---M--	200	added ('OK')	image/png	etag:%2262ed327e-1a5%22	https://funtechinnovation.com/wp-content/uploads/2022/08/cropped-website-favicon-1-32x32.png	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/uploads/2022/08/cropped-website-favicon-1-32x32.png	(from https://funtechinnovation.com/zh-hant/)
11:10:54	2564/2564	---M--	200	added ('OK')	image/png	etag:%2262ed327d-a04%22	https://funtechinnovation.com/wp-content/uploads/2022/08/cropped-website-favicon-1-192x192.png	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/uploads/2022/08/cropped-website-favicon-1-192x192.png	(from https://funtechinnovation.com/zh-hant/)
11:10:54	137731/137731	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2021:14:22%20GMT	https://funtechinnovation.com/zh-hant/cart/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/cart/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:54	2764/2764	---M--	200	added ('OK')	image/png	etag:%2262ed327e-acc%22	https://funtechinnovation.com/wp-content/uploads/2022/08/cropped-website-favicon-1-180x180.png	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/uploads/2022/08/cropped-website-favicon-1-180x180.png	(from https://funtechinnovation.com/zh-hant/)
11:10:55	22360/22360	---M--	200	added ('OK')	image/png	etag:%2261135195-5758%22	https://funtechinnovation.com/wp-content/uploads/2021/08/Earth.png	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/uploads/2021/08/Earth.png	(from https://funtechinnovation.com/zh-hant/)
11:10:55	5863/5863	---M--	200	added ('OK')	image/png	etag:%2262ed3180-16e7%22	https://funtechinnovation.com/wp-content/uploads/2022/08/website-master-logo-white.png	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/uploads/2022/08/website-master-logo-white.png	(from https://funtechinnovation.com/zh-hant/)
11:10:55	15933/15933	---M--	200	added ('OK')	image/png	etag:%2264629db8-3e3d%22	https://funtechinnovation.com/wp-content/uploads/2023/05/FTI_logo1_Gray-background-copy-1024x385.png	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/uploads/2023/05/FTI_logo1_Gray-background-copy-1024x385.png	(from https://funtechinnovation.com/zh-hant/)
11:10:56	17557/17557	---M--	200	added ('OK')	image/png	etag:%226463bbb9-4495%22	https://funtechinnovation.com/wp-content/uploads/2023/05/bright-lightbulb.png	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/uploads/2023/05/bright-lightbulb.png	(from https://funtechinnovation.com/zh-hant/)
11:10:57	196983/196983	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202024%2008:50:40%20GMT	https://funtechinnovation.com/zh-hant/product-portfolio/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/product-portfolio/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:57	272260/272260	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2007:31:56%20GMT	https://funtechinnovation.com/zh-hant/innex/cube/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/innex/cube/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:58	201590/201590	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2013:47:02%20GMT	https://funtechinnovation.com/zh-hant/innex/webcam-c830/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/innex/webcam-c830/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:58	210875/210875	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2006:52:07%20GMT	https://funtechinnovation.com/zh-hant/innex/webcam-c570/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/innex/webcam-c570/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:59	279768/279768	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2023:07:21%20GMT	https://funtechinnovation.com/zh-hant/innex-conference-cam-c831/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/innex-conference-cam-c831/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:59	194561/194561	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2005:30:16%20GMT	https://funtechinnovation.com/zh-hant/innex/webcam-c470/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/innex/webcam-c470/index.html	(from https://funtechinnovation.com/zh-hant/)
11:10:59	189800/189800	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2010:48:53%20GMT	https://funtechinnovation.com/zh-hant/innex/webcam-c220/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/innex/webcam-c220/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:00	166301/166301	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2009:47:46%20GMT	https://funtechinnovation.com/zh-hant/innex/table-stand/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/innex/table-stand/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:00	227697/227697	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2008:48:17%20GMT	https://funtechinnovation.com/zh-hant/innex/visualizer-dc500/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/innex/visualizer-dc500/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:01	185176/185176	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2010:28:37%20GMT	https://funtechinnovation.com/zh-hant/ideao/visualizer-dc400/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/ideao/visualizer-dc400/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:01	204734/204734	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2007:25:13%20GMT	https://funtechinnovation.com/zh-hant/innex/connect/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/innex/connect/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:01	231291/231291	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2022:36:50%20GMT	https://funtechinnovation.com/zh-hant/ideao/hub/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/ideao/hub/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:02	201292/201292	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2010:25:12%20GMT	https://funtechinnovation.com/zh-hant/ideao/pen/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/ideao/pen/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:02	180948/180948	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2006:48:18%20GMT	https://funtechinnovation.com/zh-hant/software/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/software/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:02	11161/11161	---M--	200	added ('OK')	image/png	etag:%226463bbb6-2b99%22	https://funtechinnovation.com/wp-content/uploads/2023/05/box.png	D:/HTTrack_website/Funtech_website/funtechinnovation.com/wp-content/uploads/2023/05/box.png	(from https://funtechinnovation.com/zh-hant/)
11:11:03	309475/309475	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2018:39:05%20GMT	https://funtechinnovation.com/zh-hant/software/reactiv-suite/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/software/reactiv-suite/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:03	187956/187956	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2016:45:33%20GMT	https://funtechinnovation.com/zh-hant/software/innex-studio/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/software/innex-studio/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:03	172760/172760	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2005:24:01%20GMT	https://funtechinnovation.com/zh-hant/software/innex-camera-vap-studio/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/software/innex-camera-vap-studio/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:04	184600/184600	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2014:39:30%20GMT	https://funtechinnovation.com/zh-hant/software/ideao-visualcam/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/software/ideao-visualcam/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:04	175313/175313	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2022:58:34%20GMT	https://funtechinnovation.com/zh-hant/software/ideaocam/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/software/ideaocam/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:05	270077/270077	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2007:23:03%20GMT	https://funtechinnovation.com/zh-hant/solutions/conference-space/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/solutions/conference-space/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:05	147958/147958	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2008:29:32%20GMT	https://funtechinnovation.com/zh-hant/solutions/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/solutions/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:05	209145/209145	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2006:29:23%20GMT	https://funtechinnovation.com/zh-hant/solutions/hybrid-classroom/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/solutions/hybrid-classroom/index.html	(from https://funtechinnovation.com/zh-hant/)
11:11:06	177940/177940	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2022:24:24%20GMT	https://funtechinnovation.com/zh-hant/solutions/work-from-home/	D:/HTTrack_website/Funtech_website/funtechinnovation.com/zh-hant/solutions/work-from-home/index.html	(from https://funtechinnovation.com/zh-hant/)
